49.43333333333333,7.6,2602500.0,100.0,EUR 057182
49.43333333333333,7.6,6911500.0,2700.0,EUR 147072
49.43333333333333,7.6,10165000.0,2700.0,EUR 147073
49.43333333333333,7.6,11455500.0,2700.0,EUR 147102
49.433611111111105,7.585,13874000.0,3000.0,EUR 124087
49.43333333333333,7.6,14488500.0,2700.0,EUR 147074
49.43333333333333,7.6,14665000.0,2700.0,EUR 147075
49.433611111111105,7.585,14902000.0,3000.0,EUR 124088
49.43333333333333,7.6,16041000.0,2700.0,EUR 147076
49.433611111111105,7.585,20408500.0,3000.0,EUR 124089
49.43333333333333,7.6,20975000.0,2700.0,EUR 147077
49.43333333333333,7.6,20995500.0,2700.0,EUR 147101
49.43333333333333,7.6,24560000.0,2700.0,EUR 147078
49.44638888888888,7.601944444444444,27510000.0,25000.0,EUR 014301
49.42972222222222,7.6125,30100000.0,16000.0,EUR 144025
49.43944444444444,7.601388888888889,30175000.0,16000.0,EUR 184423
49.4325,7.618333333333334,30300000.0,16000.0,EUR 164021
49.40222222222222,7.5586111111111105,30800000.0,25000.0,EUR 137072
49.43111111111111,7.604722222222222,32125000.0,10710000.0,EUR 134012
49.4325,7.618333333333334,33525000.0,16000.0,EUR 164022
49.4325,7.618333333333334,40400000.0,16000.0,EUR 164023
49.43944444444444,7.601388888888889,40800000.0,16000.0,EUR 194401
49.43805555555555,7.634722222222222,75000000.0,2600.0,EUR 054014
49.46388888888889,7.570277777777777,75000000.0,2600.0,EUR 054308
49.43472222222222,7.570833333333333,75000000.0,2600.0,EUR 054311
49.43138888888889,7.564444444444444,75000000.0,2600.0,EUR 054314
49.416666666666664,7.566666666666666,82150000.0,16000.0,EUR 997022
49.430277777777775,7.684166666666667,100200000.0,300000.0,EUR 867089
49.43694444444444,7.628055555555556,108950000.0,9000.0,EUR 054312
49.43222222222222,7.573333333333333,110500000.0,9000.0,EUR 054315
49.43555555555555,7.570277777777777,110750000.0,9000.0,EUR 054309
49.43805555555555,7.625000000000001,111500000.0,9000.0,EUR 054306
49.40694444444444,7.609166666666666,120250000.0,6000.0,EUR 164113
49.44888888888889,7.603055555555555,121775000.0,6000.0,EUR 074073
49.43666666666666,7.6,123300000.0,6000.0,EUR 124085
49.44888888888889,7.603055555555555,124275000.0,6000.0,EUR 034800
49.44888888888889,7.602777777777778,131458300.00000001,5600.0,EUR 194414
49.448611111111106,7.603055555555555,133199999.99999999,6000.0,EUR 034502
49.4575,7.5905555555555555,138012500.0,8100.0,EUR 024304
49.4575,7.5905555555555555,138050000.0,8100.0,EUR 024305
49.43333333333333,7.6,138050000.0,5400.0,EUR 044837
49.43333333333333,7.620555555555556,138175000.0,16000.0,EUR 194013
49.4575,7.5905555555555555,138187500.0,8100.0,EUR 024306
49.3975,7.595277777777778,138212500.0,8100.0,EUR 024396
49.4575,7.5905555555555555,138237500.0,8100.0,EUR 024307
49.4575,7.5905555555555555,138287500.0,8100.0,EUR 024308
49.3975,7.595277777777778,138312500.0,8100.0,EUR 024397
49.43333333333333,7.620555555555556,138325000.0,16000.0,EUR 184427
49.4575,7.5905555555555555,138337500.0,8100.0,EUR 024309
49.4575,7.5905555555555555,138387500.0,8100.0,EUR 024310
49.416666666666664,7.683333333333334,138425000.0,16000.0,EUR 174015
49.3975,7.595277777777778,138487500.0,8100.0,EUR 024365
49.4575,7.5905555555555555,138562500.0,8100.0,EUR 024312
49.43333333333333,7.6,138575000.0,5400.0,EUR 044838
49.44305555555555,7.602777777777778,138587500.0,11000.0,EUR 164131
49.402499999999996,7.5586111111111105,138600000.0,6000.0,EUR 205131
49.4575,7.5905555555555555,138662500.0,8100.0,EUR 024313
49.4575,7.5905555555555555,138687500.0,8100.0,EUR 024314
49.40694444444444,7.609166666666666,138700000.0,6000.0,EUR 164094
49.4575,7.5905555555555555,138712500.0,8100.0,EUR 024315
49.4575,7.5905555555555555,138762500.0,8100.0,EUR 024316
49.402499999999996,7.5586111111111105,138775000.0,6000.0,EUR 205132
49.44305555555555,7.602777777777778,138837500.0,11000.0,EUR 164132
49.4575,7.5905555555555555,138925000.0,8100.0,EUR 024317
49.40222222222222,7.5586111111111105,139050000.0,6000.0,EUR 137255
49.428888888888885,7.6850000000000005,139062500.0,16000.0,EUR 174016
49.43333333333333,7.620555555555556,139075000.0,16000.0,EUR 194010
49.405,7.538055555555555,139150000.0,6000.0,EUR 060239
49.428888888888885,7.6850000000000005,139437500.0,16000.0,EUR 064019
49.405,7.538055555555555,139450000.0,6000.0,EUR 060240
49.428888888888885,7.6850000000000005,139587500.0,16000.0,EUR 064020
49.3975,7.595277777777778,139637500.0,8100.0,EUR 024399
49.448611111111106,7.602777777777778,139875000.0,6000.0,EUR 184405
49.3975,7.595277777777778,139887500.0,8100.0,EUR 024400
49.43333333333333,7.6,140412500.0,5400.0,EUR 044839
49.428888888888885,7.6850000000000005,140512500.0,16000.0,EUR 064017
49.428888888888885,7.6850000000000005,140812500.0,16000.0,EUR 064021
49.45111111111111,7.584444444444444,140900000.0,6000.0,EUR 904081
49.428888888888885,7.6850000000000005,141012500.0,16000.0,EUR 064018
49.4575,7.5905555555555555,141212500.0,8100.0,EUR 024318
49.4575,7.5905555555555555,141337500.0,8100.0,EUR 024319
49.40694444444444,7.609166666666666,141350000.0,6000.0,EUR 164114
49.43333333333333,7.6,141400000.0,5400.0,EUR 044840
49.3975,7.595277777777778,141475000.0,8100.0,EUR 024401
49.4575,7.5905555555555555,141512500.0,8100.0,EUR 024320
49.43333333333333,7.6,141700000.0,11030.0,EUR 104058
